cleaned_text,PRODUCT_POSITIVE,PRODUCT_NEGATIVE,PRODUCT_NEUTRAL,PRICE_POSITIVE,PRICE_NEGATIVE,PRICE_NEUTRAL,PLACE_POSITIVE,PLACE_NEGATIVE,PLACE_NEUTRAL,PROMOTION_POSITIVE,PROMOTION_NEGATIVE,PROMOTION_NEUTRAL,OUT_OF_TOPIC
Tempat bagi yang hobi berburu pernak pernik asesoris budaya yogyakarta,1,0,0,0,0,0,1,0,0,0,0,0,0
Pas buat emak emak yg suka shopping...,0,0,0,0,0,0,1,0,0,0,0,0,0
China in java...,0,0,0,0,0,0,1,0,0,0,0,0,0
"biasa cari pot disini, untuk yg sedang polos bisa 10rb per pcs , daerah belakang recomen",1,0,0,1,0,0,1,0,0,0,0,0,0
Koleksinya jawa banget cocok untuk yg mencari souvenir khas jawa,1,0,0,0,0,0,0,0,0,0,0,0,0
Keren banget aset seni masih ada disini !!,1,0,0,0,0,0,0,0,0,0,0,0,0
"banyak jual baju” kebaya, keris, blangkong. harganya juga terjangkau",1,0,0,1,0,0,0,0,0,0,0,0,0
selalu cantik dan fotogenik buat yang hobby pamer foto,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tempat yang tenang, aman, menyenangkan dan penuh berkah.",0,0,0,0,0,0,1,0,0,0,0,0,0
"Batiknya beragam. Ada websitenya jika mau memilih motif batik. Bisa pesan juga dlam jumlah banyak via whatsapp, adminnya cooperative sekali. Harga batik juga beragam start from 90k. Kualitas batik jg bagus.",1,0,0,1,0,0,1,0,0,1,0,0,0
Pernik tradisional Jawa. Komplit,1,0,0,0,0,0,0,0,0,0,0,0,0
Lengkap dan menyenangkan harga murah,1,0,0,1,0,0,0,0,0,0,0,0,0
Banyak model dan pilihan,1,0,0,0,0,0,0,0,0,0,0,0,0
Toko busana jawa terlengkap....,0,0,0,0,0,0,1,0,0,0,0,0,0
Tempatnya teduh nyaman damai...,0,0,0,0,0,0,1,0,0,0,0,0,0
"Berasa di bali, bagus barang-barangnya dan ramah penjualnya.",1,0,0,0,0,0,1,0,0,0,0,0,0
"Menarik, desa yang tepat untuk belajar membuat kerajinan dari tanah liat, banyak orang2 besar dan ternama yang pernah mampir ke sini, bahkan David Bekam pernah membuat gerabah untuk bak mandi di asramanya. ...",1,0,0,0,0,0,1,0,0,0,0,0,0
"Vintage.ngga melulu kain batik.handicraftnya juga ada. keren.musholanya lantai kayu, toiletnya masih lawas banged. ...",1,0,0,0,0,0,1,0,1,0,0,0,0
"Layak dikunjungi, perlu penambahan pemain souvenir dan gallery art",0,0,0,0,0,0,1,1,0,0,0,0,0
"Tempat yang indah sekali, suka banget!",0,0,0,0,0,0,1,0,0,0,0,0,0
"Tempatnya nyaman,penuh suasana Jawa. Selalu diputar gending-gending Jawa, menambah suasananya semakin khas. Bukan sekedar toko kerajinan,Bapak SBY pernah berkunjung disini, syuting AADC 2 juga pernah berlatar belakang disini. ...",1,0,0,0,0,0,1,0,0,0,0,0,0
Lengkap se jogja. Mantap,1,0,0,0,0,0,0,0,0,0,0,0,0
Motif batiknya bagus-bagus... Harga terjangkau,1,0,0,1,0,0,0,0,0,0,0,0,0
Salah satu sudut Kota Yogyakarta yang wajib untuk dikunjungi.,0,0,0,0,0,0,0,0,0,1,0,0,0
Nyaman berbelanja disini,0,0,0,0,0,0,1,0,0,0,0,0,0
Barang2 nya bagus dan update,1,0,0,0,0,0,0,0,0,0,0,0,0
Toko perabotnya sangat gemass dan bisa custom,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pakaiannya lengkap dan bagus tempat bersih.....tambah lahan parkir,kamar mandi kurang pengharum ruangan",1,0,0,0,0,0,1,1,0,0,0,0,0
"Harganya Murah, beragam jenisnya",1,0,0,1,0,0,0,0,0,0,0,0,0
Cakep2 brgnya. Hrgnya bersahabat.,1,0,0,1,0,0,0,0,0,0,0,0,0
Cuci mata kerajinan tangan/ handycraf,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pelayanan ramah, barang terjamin ...",1,0,0,0,0,0,0,0,0,0,0,0,0
Kampung Cina nya Jogjakarta.,0,0,0,0,0,0,1,0,0,0,0,0,0
Bener bener desa wisata untuk kerajinan grabah...,1,0,0,0,0,0,1,0,0,0,0,0,0
Tempat menikmati wisata dan belanja aneka gerabah bagus-bagus,1,0,0,0,0,0,1,0,0,0,0,0,0
"Tradisionil, lengkap, klasik, vintage",1,0,0,0,0,0,0,0,0,0,0,0,0
Berbagai kerajinan dan hiasan untuk mempercantik Rumah..,1,0,0,0,0,0,0,0,0,0,0,0,0
Banyak pilihan...kwalitas dari yg biasa saja sampai kwalitas export ada,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kalo mau cari batik dan sorjan berkualitas ya disini tempatnya, blangkon segala macam bahkan keris juga ada. Segala bntuk kerajinan tangan kulit juga ada, agak mahal tapi kualitas bagus.",1,0,0,0,1,0,0,0,0,0,0,0,0
Produknya benar2 legenda. Macam ragam penyampaiannya dalam budaya Jawa.,1,0,0,0,0,0,0,0,0,0,0,0,0
"Berasa di bali, bagus barang-barangnya dan ramah penjualnya.",1,0,0,0,0,0,1,0,0,0,0,0,0
"Surga belanjanya ibu ibu nih... Murah murah , banyak sekali pilihan gerabah untuk mempercantik rumah",1,0,0,1,0,0,1,0,0,0,0,0,0
"Wah cantik cantik banget asli kerajinan tembaga sama Kuningan disini, aku rekomendasiin banget pokoknya ini.",1,0,0,0,0,0,0,0,0,0,0,0,0
"pegawainya ramah,tempatnya rapi bagus ...",0,0,0,0,0,0,1,0,0,0,0,0,0
"barang kumplit, vintage dan menarik..",1,0,0,0,0,0,0,0,0,0,0,0,0
Ke sini untuk mencari sinjang,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ditempat ini kita dapat menemukan berbagai jenis barang-barang hasil kerajinan,seperti batik,perak,keris,gamelan,pakaian Jawa,serta berbagai jenis barang-barang kerajinan tangan lainnya",1,0,0,0,0,0,0,0,0,0,0,0,0
Tempatnya kerajinan gerabah di bantul yoygyakarta,0,0,0,0,0,0,1,0,0,0,0,0,0
"Klu mo cari souvernir, ayo belajar bikin gerabah ... Ato sekedar jln2 tempat ini bgus lngkat",1,0,0,0,0,0,0,0,0,0,0,0,0
"Desa wisata yang unik. Kita bisa belajar membuat gerabah, atau sekedar melihat prosesnya atau bisa juga tinggal beli. Modelnya variatif dan unik",1,0,0,0,0,0,0,0,0,0,0,0,0
Karyawannya ramah ...,0,0,0,0,0,0,1,0,0,0,0,0,0
Jualanya byk dan jahitannya rapih,1,0,0,0,0,0,0,0,0,0,0,0,0
"langganan setiap ke Yogya, pilih pilih, beli dan dikirim via ekspedisi, praktis ngga repot, harga separuh dari daerah lain penghasil terracota juga",1,0,0,1,0,0,0,0,0,1,0,0,0
Tersedia aneka kerajinan lawasan dan baru,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pecinan / ChinaTown - not so feel Chinese, most of them seems like ordinary building. Need more Chinese Accents",0,0,0,0,0,0,0,0,0,0,0,0,1
Sebuah replikasi perkampungan China kecil dengan konsep dan dekorasi seperti kampung China. Tempat ini menjadi distrik untuk berfoto foto. Terdapat banyak toko yang menjual perhiasan dan emas di sepanjang jalan China town.,0,0,0,0,0,0,0,0,0,0,0,0,1
Ini adalah toko detail.,0,0,0,0,0,0,0,0,0,0,0,0,1
